"instruction","output"
"BFS traversal from node 47","Use queue: enqueue 47, dequeue, visit, enqueue unvisited neighbors"
"Pointer arithmetic: ptr + 26","Moves pointer forward by 26 * sizeof(type) bytes"
"Handle empty list in operation 5","Check if head == nullptr before any operations, return appropriate value or error. Prevents null pointer dereference."
"How to sort in a singly linked list at position 10?","For sort operation: traverse to position 10, adjust next pointers accordingly, handle edge cases for head/tail"
"Edit distance between strings of length 25","DP: dp[i][j] = min cost to transform first i chars to first j chars"
"Evaluate expression with 35 operators using stack","Push operands to stack, for each operator pop required operands, compute and push result"
"Implement circular queue with size 39","Use array[39], front and rear indices with modulo arithmetic: (rear+1)%39"
"Space complexity of counting sort with 10 items?","Counting sort requires O(1) or O(n) or O(log n) space depending on implementation"
"Explain data structure concept 3","Data structures organize and store data efficiently for specific operations and access patterns"
"Heapify array of 22 elements","Start from last non-leaf node, sift down each node to satisfy heap property"
"Time complexity of quick sort for 50 elements?","Quick sort: O(n log n) average case, O(n²) worst case for n=50"
"How to search in a singly linked list at position 13?","Traverse list from head, compare each node's data with target, return true if found at position 13, false otherwise."
"Calculate factorial of 32 recursively","Base: if n==0 return 1; Recursive: return 32 * factorial(31)"
"Solve 0/1 knapsack with capacity 10","DP table: dp[i][w] = max value using first i items with weight limit 10"
"Check if tree is balanced with 37 nodes","For each node check if |height(left) - height(right)| <= 1"
"Copy constructor for class with 18 members","MyClass(const MyClass& other) : member1(other.member1), ... member18(other.member18) {}"
"How to find the sum of array elements from index 44 to 54?","Initialize sum=0, loop from index 44 to 54, add arr[j] to sum"
"Time complexity of merge in linked list with 300 elements?","Merge in linked list: O(1), O(log n), O(n), or O(n²) depending on implementation"
"How to dequeue from queue with 16 elements?","Check if empty, get front element, increment front index, decrease size, return element"
"Double hashing with secondary hash for key 34","hash2(34) gives step size, probe at 34, 34+hash2, 34+2*hash2, ..."
"Find first occurrence of 27 in sorted array","Binary search with left bias, continue searching left when target found"
"Explain data structure concept 73","Data structures organize and store data efficiently for specific operations and access patterns"
"Binary search in sorted array of 138 elements","Divide array of 138 in half each iteration, O(log 138) time"
"Longest increasing subsequence ending at index 23","DP: dp[23] = max length of LIS ending at position 23"
"Convert infix to postfix with 20 operations","Use operator stack, output operands, pop operators based on precedence rules"
"Inheritance hierarchy with 35 levels","35-level inheritance: Base -> Derived1 -> ... -> Derived34"
"Implement radix sort for array size 20","Radix sort algorithm with detailed steps for 20 elements"
"Time complexity of sort in stack with 500 elements?","Sort in stack: O(1), O(log n), O(n), or O(n²) depending on implementation"
"DFS traversal starting from vertex 49","Use stack or recursion: visit 49, mark visited, recurse on unvisited neighbors"
"Allocate array of 42 integers dynamically","int* arr = new int[42]; remember to use delete[] arr;"
"BFS traversal starting from node 17","Use queue: enqueue node 17, while queue not empty: dequeue, visit, enqueue unvisited neighbors"
"Remove element from vector at position 8","Use erase() for vector, specify iterator or key"
"Fibonacci number at position 41","Base: if n<=1 return n; Recursive: return fib(40) + fib(39)"
"Heapify array of 9 elements","Start from last non-leaf node, sift down each node to satisfy heap property"
"Double hashing with secondary hash for key 3","hash2(3) gives step size, probe at 3, 3+hash2, 3+2*hash2, ..."
"Insert 160 into list","list.insert(160) or push syntax depending on container type"
"Fibonacci number at position 29","Base: if n<=1 return n; Recursive: return fib(28) + fib(27)"
"Implement circular queue with size 68","Use array[68], front and rear indices with modulo arithmetic: (rear+1)%68"
"Heapify array of 41 elements","Start from last non-leaf node, sift down each node to satisfy heap property"
"Matrix chain multiplication with 13 matrices","DP: dp[i][j] = minimum scalar multiplications for matrices 13 to 14"
"Construct BST from array of 7 elements","Sort array, pick middle as root for 7 elements, recursively build left and right subtrees"
"Inheritance hierarchy with 15 levels","15-level inheritance: Base -> Derived1 -> ... -> Derived14"
"Implement bubble sort for array size 50","Bubble sort algorithm with detailed steps for 50 elements"
"Explain data structure concept 14","Data structures organize and store data efficiently for specific operations and access patterns"
"Pointer arithmetic: ptr + 43","Moves pointer forward by 43 * sizeof(type) bytes"
"Fibonacci number at position 45","Base: if n<=1 return n; Recursive: return fib(44) + fib(43)"
"Linear search for value 34 in unsorted array","Check each element sequentially until value 34 found or end reached"
"Linear search for value 11 in unsorted array","Check each element sequentially until value 11 found or end reached"
"Explain data structure concept 342","Data structures organize and store data efficiently for specific operations and access patterns"
"Check if tree is balanced with 43 nodes","For each node check if |height(left) - height(right)| <= 1"
"Topological sort for DAG with 34 nodes","DFS-based: finish times order, or Kahn's algorithm with indegree for 34 nodes"
"Sum of first 25 natural numbers recursively","Base: if n==0 return 0; Recursive: return 25 + sum(24)"
"Time complexity of search in BST with 200 elements?","Search in BST: O(1), O(log n), O(n), or O(n²) depending on implementation"
"Hash function for key 3400","Simple: 3400 % table_size, or multiply by prime and mod by table size"
"DFS traversal starting from vertex 38","Use stack or recursion: visit 38, mark visited, recurse on unvisited neighbors"
